name,lat,lng,attr,distance(km),cool_time(h),cool_time(hms)
函館,41.773709,140.726413,eco,152.834,16.16629,16時間9分59秒
函館駅前,41.77264,140.727997,heat,152.903,16.16665,16時間10分0秒
五稜郭,41.803557,140.733539,eco,149.508,16.14901,16時間8分56秒
桔梗,41.846457,140.722952,heat,145.329,16.12729,16時間7分38秒
大中山,41.864641,140.71358,heat,143.715,16.11890,16時間7分8秒
七飯,41.886971,140.688556,heat,142.172,16.11088,16時間6分39秒
新函館北斗,41.9054,140.646525,eco,141.647,16.10815,16時間6分29秒
仁山,41.930011,140.635183,heat,139.537,16.09718,16時間5分50秒
大沼,41.971954,140.669347,heat,134.121,16.06903,16時間4分9秒
大沼公園,41.980958,140.669758,cool,133.196,16.06422,16時間3分51秒
赤井川,42.003267,140.642678,cool,131.904,16.05751,16時間3分27秒
駒ヶ岳,42.038809,140.610476,cool,129.572,16.04538,16時間2分43秒
東山(北海道),42.06172,140.605222,unknown,127.526,16.03475,16時間2分5秒
姫川(北海道),42.081312,140.591632,unknown,126.158,16.02764,16時間1分39秒
池田園,41.990692,140.700333,unknown,131.174,16.05371,16時間3分13秒
流山温泉,42.003483,140.716358,unknown,129.340,16.04418,16時間2分39秒
銚子口,42.015471,140.720656,unknown,127.976,16.03709,16時間2分14秒
鹿部,42.06439,140.771393,cool,121.326,16.00252,16時間0分9秒
渡島沼尻,42.10706,140.747596,cool,117.771,15.98404,15時間59分3秒
渡島砂原,42.12164,140.689451,cool,118.397,15.98730,15時間59分14秒
掛澗,42.119205,140.64598,eco,120.304,15.99721,15時間59分50秒
尾白内,42.111232,140.613449,eco,122.376,16.00798,16時間0分29秒
東森,42.106823,140.59353,eco,123.613,16.01441,16時間0分52秒
森(北海道),42.108917,140.573846,eco,124.228,16.01761,16時間1分3秒
桂川(北海道),42.1156,140.542788,unknown,124.916,16.02118,16時間1分16秒
石谷,42.135519,140.506525,unknown,124.657,16.01984,16時間1分11秒
本石倉,42.159668,140.471957,unknown,124.042,16.01664,16時間1分0秒
石倉,42.17285,140.458436,eco,123.497,16.01381,16時間0分50秒
落部,42.187617,140.420755,eco,124.038,16.01662,16時間1分0秒
野田生,42.217104,140.37586,eco,123.787,16.01531,16時間0分55秒
山越,42.231172,140.326593,eco,125.246,16.02290,16時間1分22秒
八雲,42.253391,140.273342,eco,126.406,16.02893,16時間1分44秒
鷲ノ巣,42.278389,140.269919,unknown,124.613,16.01961,16時間1分11秒
山崎(北海道),42.314635,140.2746,eco,121.509,16.00347,16時間0分13秒
黒岩,42.368296,140.288173,eco,116.616,15.97804,15時間58分41秒
北豊津,42.400969,140.297868,unknown,113.604,15.96238,15時間57分45秒
国縫,42.439319,140.320885,eco,109.393,15.94050,15時間56分26秒
中ノ沢,42.477928,140.346077,unknown,105.065,15.91801,15時間55分5秒
長万部,42.512477,140.37507,eco,100.810,15.89591,15時間53分45秒
二股,42.575869,140.320821,eco,100.288,15.89320,15時間53分36秒
蕨岱,42.626353,140.313353,unknown,97.832,15.88044,15時間52分50秒
黒松内,42.669608,140.305704,eco,96.031,15.87109,15時間52分16秒
熱郛,42.675653,140.375084,eco,90.725,15.84353,15時間50分37秒
目名,42.761432,140.465742,eco,79.756,15.78661,15時間47分12秒
蘭越,42.804542,140.52894,heat,73.062,15.75190,15時間45分7秒
昆布,42.797984,140.596107,heat,68.411,15.72779,15時間43分40秒
ニセコ,42.808746,140.684588,heat,61.447,15.69172,15時間41分30秒
比羅夫,42.84856,140.722615,heat,56.672,15.66700,15時間40分1秒
倶知安,42.90164,140.745471,heat,52.620,15.64604,15時間38分46秒
小沢,42.97185,140.677657,heat,55.769,15.66233,15時間39分44秒
銀山,43.040888,140.715321,cool,51.722,15.64139,15時間38分29秒
然別,43.12551,140.737211,cool,50.217,15.63361,15時間38分1秒
仁木,43.154091,140.770546,cool,48.049,15.62240,15時間37分21秒
余市,43.186558,140.794686,cool,46.995,15.61695,15時間37分1秒
蘭島,43.19651,140.854643,cool,42.697,15.59474,15時間35分41秒
塩谷,43.202406,140.924546,cool,37.649,15.56868,15時間34分7秒
小樽,43.197172,140.993653,cool,32.313,15.54115,15時間32分28秒
南小樽,43.186529,141.007883,cool,30.761,15.53314,15時間31分59秒
小樽築港,43.180752,141.029051,cool,28.934,15.52373,15時間31分25秒
朝里,43.176868,141.063923,cool,26.208,15.50968,15時間30分35秒
銭函,43.143403,141.159868,cool,17.588,15.46531,15時間27分55秒
ほしみ,43.13373,141.191402,cool,14.827,15.45111,15時間27分4秒
星置,43.132375,141.210856,cool,13.391,15.44372,15時間26分37秒
稲穂,43.128115,141.222919,cool,12.310,15.43817,15時間26分17秒
手稲,43.120238,141.243785,eco,10.412,15.42842,15時間25分42秒
稲積公園,43.112023,141.257113,eco,9.008,15.42121,15時間25分16秒
発寒,43.099819,141.277273,eco,6.904,15.41041,15時間24分37秒
発寒中央,43.089271,141.294497,eco,5.115,15.40123,15時間24分4秒
琴似(JR),43.081599,141.307418,eco,3.806,15.39451,15時間23分40秒
桑園,43.070744,141.332036,eco,1.540,15.38289,15時間22分58秒
札幌,43.068612,141.350768,eco,0.000,15.37500,15時間22分30秒
さっぽろ,43.06637,141.350299,heat,0.252,15.37629,15時間22分35秒
苗穂,43.06826,141.373471,eco,1.845,15.38446,15時間23分4秒
白石(JR),43.054715,141.413612,eco,5.334,15.40235,15時間24分8秒
厚別,43.045154,141.46369,eco,9.538,15.42393,15時間25分26秒
森林公園(北海道),43.056456,141.481332,eco,10.693,15.42986,15時間25分48秒
大麻,43.072382,141.496925,eco,11.880,15.43596,15時間26分9秒
野幌,43.092559,141.52984,eco,14.785,15.45089,15時間27分3秒
高砂(北海道),43.100084,141.540752,eco,15.821,15.45622,15時間27分22秒
江別,43.110189,141.55679,eco,17.357,15.46412,15時間27分51秒
豊幌,43.136446,141.62466,eco,23.481,15.49563,15時間29分44秒
幌向,43.151348,141.655839,eco,26.418,15.51076,15時間30分39秒
上幌向,43.18183,141.715391,eco,32.158,15.54035,15時間32分25秒
岩見沢,43.204201,141.759359,eco,36.421,15.56234,15時間33分44秒
峰延,43.264694,141.814673,eco,43.485,15.59881,15時間35分56秒
光珠内,43.292658,141.844655,eco,47.163,15.61782,15時間37分4秒
美唄,43.330751,141.862157,eco,50.674,15.63597,15時間38分10秒
茶志内,43.369842,141.87336,eco,53.992,15.65313,15時間39分11秒
奈井江,43.423718,141.889115,eco,58.825,15.67814,15時間40分41秒
豊沼,43.464224,141.901032,eco,62.611,15.69775,15時間41分52秒
砂川,43.493468,141.909642,eco,65.410,15.71224,15時間42分44秒
滝川,43.555278,141.900807,eco,70.063,15.73635,15時間44分11秒
江部乙,43.627564,141.935937,heat,78.114,15.77809,15時間46分41秒
妹背牛,43.690841,141.966591,heat,85.229,15.81501,15時間48分54秒
深川,43.721021,142.041642,heat,91.535,15.84774,15時間50分52秒
納内,43.732509,142.130072,heat,97.023,15.87624,15時間52分34秒
神居古潭,43.732833,142.202222,unknown,100.929,15.89653,15時間53分48秒
伊納,43.763305,142.27167,unknown,107.235,15.92929,15時間55分45秒
近文,43.789193,142.325327,heat,112.308,15.95565,15時間57分20秒
旭川,43.763492,142.357803,heat,112.186,15.95502,15時間57分18秒
静狩,42.584065,140.460025,eco,90.442,15.84206,15時間50分31秒
小幌,42.589731,140.537361,eco,85.061,15.81413,15時間48分51秒
礼文,42.580422,140.595013,eco,82.132,15.79894,15時間47分56秒
大岸,42.585969,140.639036,eco,79.051,15.78295,15時間46分59秒
豊浦,42.580323,140.71536,eco,75.055,15.76223,15時間45分44秒
洞爺,42.55055,140.763959,eco,74.898,15.76142,15時間45分41秒
有珠,42.513267,140.793969,eco,76.665,15.77058,15時間46分14秒
長和,42.488262,140.833783,eco,77.102,15.77284,15時間46分22秒
伊達紋別,42.469395,140.855802,eco,77.922,15.77710,15時間46分38秒
北舟岡,42.450528,140.880259,eco,78.734,15.78131,15時間46分53秒
稀府,42.425567,140.898836,eco,80.464,15.79029,15時間47分25秒
黄金(北海道),42.386441,140.907781,eco,84.042,15.80885,15時間48分32秒
崎守,42.373968,140.927141,eco,84.639,15.81194,15時間48分43秒
本輪西,42.358734,140.977561,eco,84.619,15.81184,15時間48分43秒
室蘭,42.317864,140.97571,cool,88.929,15.83421,15時間50分3秒
母恋,42.317295,140.990018,cool,88.592,15.83246,15時間49分57秒
御崎,42.329014,140.993881,cool,87.258,15.82554,15時間49分32秒
輪西,42.333775,141.005743,cool,86.437,15.82128,15時間49分17秒
東室蘭,42.349374,141.026411,cool,84.252,15.80994,15時間48分36秒
鷲別,42.35953,141.042759,cool,82.764,15.80222,15時間48分8秒
幌別,42.409782,141.107293,cool,75.909,15.76666,15時間46分0秒
富浦(北海道),42.441957,141.156878,cool,71.456,15.74357,15時間44分37秒
登別,42.45207,141.180931,cool,69.944,15.73574,15時間44分9秒
虎杖浜,42.464695,141.215092,heat,68.060,15.72597,15時間43分33秒
竹浦,42.49284,141.260395,heat,64.446,15.70725,15時間42分26秒
北吉原,42.509119,141.286199,heat,62.435,15.69684,15時間41分49秒
萩野,42.521159,141.30603,heat,60.983,15.68932,15時間41分22秒
白老,42.55474,141.360054,heat,57.145,15.66945,15時間40分10秒
社台,42.578682,141.417433,heat,54.748,15.65705,15時間39分25秒
錦岡,42.6025,141.48722,heat,53.010,15.64805,15時間38分53秒
糸井,42.6225,141.546187,heat,52.101,15.64335,15時間38分36秒
青葉,42.62999,141.568278,heat,51.896,15.64229,15時間38分32秒
苫小牧,42.639665,141.596837,eco,51.743,15.64150,15時間38分29秒
沼ノ端,42.672057,141.693132,eco,52.180,15.64376,15時間38分38秒
遠浅,42.729533,141.769568,heat,50.846,15.63686,15時間38分13秒
早来,42.765237,141.814106,heat,50.612,15.63565,15時間38分8秒
安平,42.814007,141.825283,cool,47.890,15.62158,15時間37分18秒
追分(北海道),42.873316,141.810678,cool,43.264,15.59767,15時間35分52秒
三川(北海道),42.945029,141.800778,cool,39.087,15.57610,15時間34分34秒
古山,42.975256,141.793969,eco,37.495,15.56788,15時間34分4秒
由仁,43.012206,141.785868,eco,35.912,15.55971,15時間33分35秒
栗山,43.058164,141.775603,eco,34.533,15.55260,15時間33分9秒
栗丘,43.085444,141.744333,eco,32.020,15.53964,15時間32分23秒
栗沢,43.120367,141.739743,eco,32.104,15.54007,15時間32分24秒
志文,43.158903,141.744443,eco,33.495,15.54725,15時間32分50秒
東滝川,43.574037,141.98031,unknown,75.842,15.76631,15時間45分59秒
赤平,43.555144,142.048669,eco,78.199,15.77854,15時間46分43秒
茂尻,43.537314,142.082156,eco,78.860,15.78196,15時間46分55秒
平岸(JR),43.541401,142.123872,eco,81.714,15.79677,15時間47分48秒
芦別,43.516636,142.184543,eco,83.877,15.80799,15時間48分29秒
上芦別,43.48871,142.210855,eco,83.844,15.80782,15時間48分28秒
野花南,43.474418,142.261772,eco,86.465,15.82142,15時間49分17秒
島ノ下,43.3744,142.350406,unknown,87.846,15.82859,15時間49分43秒
富良野,43.347114,142.391374,cool,89.843,15.83896,15時間50分20秒
布部,43.291991,142.400595,unknown,88.673,15.83288,15時間49分58秒
山部,43.244645,142.381522,unknown,85.870,15.81833,15時間49分6秒
下金山,43.197328,142.415402,unknown,87.568,15.82715,15時間49分38秒
金山(北海道),43.136115,142.416201,unknown,86.824,15.82329,15時間49分24秒
東鹿越,43.164011,142.523472,unknown,95.775,15.86976,15時間52分11秒
幾寅,43.161582,142.569474,unknown,99.461,15.88890,15時間53分20秒
落合(北海道),43.125055,142.669104,unknown,107.224,15.92923,15時間55分45秒
新得,43.082501,142.832432,cool,120.353,15.99746,15時間59分51秒
十勝清水,43.012892,142.879535,cool,124.394,16.01847,16時間1分6秒
羽帯,42.957499,142.906646,unknown,127.102,16.03254,16時間1分57秒
御影(北海道),42.942418,142.935739,cool,129.642,16.04575,16時間2分45秒
芽室,42.909846,143.047991,cool,139.169,16.09527,16時間5分43秒
大成,42.918662,143.071241,cool,140.916,16.10435,16時間6分16秒
西帯広,42.923941,143.126351,cool,145.295,16.12711,16時間7分38秒
柏林台,42.928877,143.1645,cool,148.314,16.14280,16時間8分34秒
帯広,42.917997,143.20195,cool,151.485,16.15928,16時間9分33秒
札内,42.912697,143.256248,eco,155.946,16.18246,16時間10分57秒
稲士別,42.903963,143.297528,unknown,159.402,16.20042,16時間12分2秒
幕別,42.90784,143.359293,eco,164.341,16.22607,16時間13分34秒
利別,42.934706,143.424445,eco,169.284,16.25174,16時間15分6秒
池田(北海道),42.922186,143.453033,eco,171.744,16.26451,16時間15分52秒
十弗,42.855781,143.500797,eco,176.542,16.28942,16時間17分22秒
豊頃,42.817548,143.538615,eco,180.256,16.30869,16時間18分31秒
新吉野,42.778238,143.60826,eco,186.622,16.34171,16時間20分30秒
浦幌,42.810849,143.651568,eco,189.465,16.35645,16時間21分23秒
上厚内,42.831881,143.749788,unknown,197.012,16.39556,16時間23分44秒
厚内,42.809539,143.814389,eco,202.598,16.42449,16時間25分28秒
直別,42.852205,143.863607,unknown,205.886,16.44151,16時間26分29秒
尺別,42.869163,143.904331,unknown,208.940,16.45731,16時間27分26秒
音別,42.888997,143.932442,eco,210.960,16.46776,16時間28分4秒
古瀬,42.947893,144.008589,unknown,216.520,16.49650,16時間29分47秒
白糠,42.956161,144.076879,heat,221.993,16.52478,16時間31分29秒
西庶路,42.976138,144.129826,heat,226.142,16.54620,16時間32分46秒
庶路,42.983601,144.150018,heat,227.732,16.55440,16時間33分16秒
大楽毛,43.009078,144.273879,heat,237.645,16.60552,16時間36分20秒
新大楽毛,43.009423,144.295558,heat,239.405,16.61458,16時間36分52秒
新富士(北海道),43.001605,144.350758,heat,243.929,16.63787,16時間38分16秒
釧路,42.990584,144.381983,eco,246.527,16.65124,16時間39分4秒
東釧路,42.995207,144.411307,eco,248.882,16.66336,16時間39分48秒
武佐(北海道),42.991364,144.426681,heat,250.153,16.66989,16時間40分12秒
別保,42.994384,144.469596,heat,253.622,16.68771,16時間41分16秒
上尾幌,43.032893,144.61239,heat,265.038,16.74630,16時間44分47秒
尾幌,43.018463,144.703758,cool,272.520,16.78462,16時間47分5秒
門静,43.057581,144.782638,cool,278.786,16.81666,16時間49分0秒
厚岸,43.056248,144.841355,cool,283.559,16.84104,16時間50分28秒
糸魚沢,43.103506,144.92545,unknown,290.300,16.87542,16時間52分32秒
茶内,43.129266,145.02801,cool,298.614,16.91775,16時間55分4秒
浜中,43.15754,145.099657,cool,304.444,16.94738,16時間56分51秒
姉別,43.196201,145.194716,eco,312.221,16.98683,16時間59分13秒
厚床,43.228224,145.252096,eco,316.968,17.01087,17時間0分39秒
初田牛,43.204542,145.32277,unknown,322.619,17.03944,17時間2分22秒
別当賀,43.218427,145.423593,eco,330.826,17.08085,17時間4分51秒
落石,43.198335,145.519449,eco,338.544,17.11971,17時間7分11秒
昆布盛,43.228593,145.542444,eco,340.482,17.12945,17時間7分46秒
西和田,43.268043,145.541817,eco,340.579,17.12994,17時間7分48秒
花咲,43.295388,145.575045,unknown,343.401,17.14411,17時間8分39秒
東根室,43.323655,145.597234,unknown,345.359,17.15393,17時間9分14秒
根室,43.326923,145.582707,eco,344.206,17.14815,17時間8分53秒
植苗,42.713645,141.735344,eco,50.393,15.63452,15時間38分4秒
美々,42.777418,141.711387,unknown,43.711,15.59998,15時間36分0秒
新千歳空港,42.787546,141.680823,eco,41.217,15.58710,15時間35分14秒
南千歳,42.80804,141.675388,eco,39.215,15.57676,15時間34分36秒
千歳(北海道),42.82811,141.651934,eco,36.277,15.56160,15時間33分42秒
長都,42.852178,141.622987,eco,32.709,15.54319,15時間32分35秒
サッポロビール庭園,42.866812,141.605616,heat,30.553,15.53207,15時間31分55秒
恵庭,42.883076,141.586234,heat,28.153,15.51970,15時間31分11秒
恵み野,42.902704,141.574429,heat,25.910,15.50814,15時間30分29秒
島松,42.922504,141.573117,heat,24.310,15.49990,15時間30分0秒
北広島,42.979239,141.563115,heat,19.918,15.47729,15時間28分38秒
上野幌,43.016177,141.487317,cool,12.535,15.43933,15時間26分22秒
新札幌,43.038732,141.47237,cool,10.424,15.42848,15時間25分43秒
新さっぽろ,43.039141,141.473106,cool,10.466,15.42870,15時間25分43秒
平和,43.04695,141.437967,cool,7.483,15.41338,15時間24分48秒
東追分,42.902377,141.83228,unknown,43.310,15.59791,15時間35分52秒
川端,42.914721,141.894791,cool,47.441,15.61926,15時間37分9秒
滝ノ上,42.910244,141.97628,unknown,53.838,15.65234,15時間39分8秒
十三里,42.914667,142.024478,unknown,57.407,15.67080,15時間40分15秒
新夕張,42.936611,142.03657,cool,57.668,15.67215,15時間40分20秒
沼ノ沢,42.957586,142.030836,unknown,56.655,15.66691,15時間40分1秒
南清水沢,42.985272,142.006597,unknown,54.110,15.65374,15時間39分13秒
清水沢,42.99827,142.007285,unknown,53.931,15.65282,15時間39分10秒
鹿ノ谷,43.039447,141.964476,unknown,49.970,15.63233,15時間37分56秒
夕張,43.050926,141.967472,unknown,50.142,15.63322,15時間38分0秒
占冠,42.993088,142.400078,eco,85.702,15.81746,15時間49分3秒
トマム,43.055913,142.610937,eco,102.385,15.90409,15時間54分15秒
勇払,42.632805,141.727667,eco,57.379,15.67066,15時間40分14秒
浜厚真,42.606725,141.837071,eco,64.885,15.70952,15時間42分34秒
浜田浦,42.590722,141.88362,unknown,68.643,15.72899,15時間43分44秒
鵡川,42.578953,141.923892,eco,71.758,15.74514,15時間44分43秒
汐見,42.550235,141.945255,unknown,75.327,15.76364,15時間45分49秒
富川,42.516865,142.020855,unknown,82.179,15.79918,15時間47分57秒
日高門別,42.481237,142.072692,unknown,87.964,15.82920,15時間49分45秒
豊郷(北海道),42.470119,142.122493,unknown,91.635,15.84826,15時間50分54秒
清畠,42.455709,142.176624,unknown,95.864,15.87022,15時間52分13秒
厚賀,42.430507,142.215896,unknown,100.122,15.89233,15時間53分32秒
大狩部,42.395695,142.259355,unknown,105.383,15.91967,15時間55分11秒
節婦,42.38248,142.275541,unknown,107.363,15.92995,15時間55分48秒
新冠,42.360667,142.312585,unknown,111.226,15.95003,15時間57分0秒
静内,42.336559,142.360402,unknown,115.898,15.97431,15時間58分28秒
東静内,42.304416,142.450485,unknown,123.693,16.01482,16時間0分53秒
春立,42.268515,142.498943,unknown,129.333,16.04414,16時間2分39秒
日高東別,42.280837,142.521371,unknown,129.734,16.04623,16時間2分46秒
日高三石,42.247269,142.566859,unknown,135.017,16.07369,16時間4分25秒
蓬栄,42.264636,142.604517,unknown,136.013,16.07887,16時間4分44秒
本桐,42.248205,142.630455,unknown,138.822,16.09347,16時間5分36秒
荻伏,42.206136,142.689432,unknown,145.559,16.12849,16時間7分43秒
絵笛,42.198428,142.736134,unknown,149.015,16.14645,16時間8分47秒
浦河,42.168366,142.769976,unknown,153.313,16.16878,16時間10分8秒
東町,42.156037,142.788931,unknown,155.392,16.17958,16時間10分47秒
日高幌別,42.142338,142.834519,unknown,159.227,16.19951,16時間11分58秒
鵜苫,42.134449,142.882513,unknown,162.807,16.21810,16時間13分5秒
西様似,42.138411,142.908737,unknown,164.184,16.22526,16時間13分31秒
様似,42.127936,142.93596,unknown,166.657,16.23810,16時間14分17秒
八軒,43.085845,141.319145,cool,3.204,15.39143,15時間23分29秒
新川(北海道),43.098604,141.323824,cool,3.989,15.39545,15時間23分44秒
新琴似,43.112928,141.335105,cool,5.089,15.40110,15時間24分4秒
太平,43.12401,141.349526,cool,6.161,15.40660,15時間24分24秒
百合が原,43.131476,141.360672,cool,7.036,15.41109,15時間24分40秒
篠路,43.145152,141.364323,cool,8.582,15.41902,15時間25分8秒
拓北,43.155568,141.381013,eco,9.976,15.42618,15時間25分34秒
あいの里教育大,43.15528,141.39842,eco,10.384,15.42828,15時間25分42秒
あいの里公園,43.161206,141.413276,eco,11.478,15.43390,15時間26分2秒
ロイズタウン,43.179589,141.436236,eco,14.156,15.44766,15時間26分52秒
太美,43.189801,141.449066,eco,15.660,15.45539,15時間27分19秒
当別,43.22208,141.513764,eco,21.589,15.48589,15時間29分9秒
北海道医療大学,43.230925,141.54995,eco,24.225,15.49946,15時間29分58秒
石狩金沢,43.245385,141.569239,unknown,26.465,15.51101,15時間30分40秒
本中小屋,43.28019,141.591661,unknown,30.579,15.53221,15時間31分56秒
中小屋,43.306846,141.602341,unknown,33.433,15.54692,15時間32分49秒
月ヶ岡,43.324867,141.61807,unknown,35.797,15.55912,15時間33分33秒
知来乙,43.331545,141.649123,unknown,37.943,15.57019,15時間34分13秒
石狩月形,43.340869,141.670193,unknown,39.834,15.57996,15時間34分48秒
豊ヶ岡,43.366645,141.714026,unknown,44.325,15.60315,15時間36分11秒
札比内,43.370926,141.742762,unknown,46.249,15.61309,15時間36分47秒
晩生内,43.399921,141.779211,unknown,50.615,15.63567,15時間38分8秒
札的,43.419153,141.803549,unknown,53.520,15.65069,15時間39分2秒
浦臼,43.430964,141.817376,unknown,55.241,15.65959,15時間39分35秒
鶴沼,43.457673,141.840637,unknown,58.694,15.67746,15時間40分39秒
於札内,43.473424,141.840102,unknown,59.964,15.68404,15時間41分3秒
南下徳富,43.485542,141.844454,unknown,61.209,15.69049,15時間41分26秒
下徳富,43.50271,141.855574,unknown,63.242,15.70101,15時間42分4秒
新十津川,43.545575,141.874172,unknown,67.870,15.72499,15時間43分30秒
北一已,43.742021,142.014721,heat,92.107,15.85071,15時間51分3秒
秩父別,43.769099,141.967757,heat,92.466,15.85258,15時間51分9秒
北秩父別,43.789375,141.960915,heat,94.078,15.86095,15時間51分39秒
石狩沼田,43.810032,141.934266,heat,94.953,15.86549,15時間51分56秒
真布,43.832965,141.906756,unknown,96.114,15.87152,15時間52分17秒
恵比島,43.851296,141.88144,unknown,96.999,15.87611,15時間52分34秒
峠下,43.850789,141.818879,unknown,94.826,15.86483,15時間51分53秒
幌糠,43.855521,141.758418,unknown,93.481,15.85785,15時間51分28秒
藤山,43.88708,141.720588,unknown,95.776,15.86976,15時間52分11秒
大和田(北海道),43.913418,141.696528,unknown,97.991,15.88127,15時間52分53秒
留萌,43.942848,141.651433,unknown,100.189,15.89268,15時間53分34秒
瀬越,43.934987,141.634535,unknown,99.018,15.88660,15時間53分12秒
礼受,43.904871,141.611358,unknown,95.335,15.86747,15時間52分3秒
阿分,43.894339,141.605598,unknown,94.090,15.86101,15時間51分40秒
信砂,43.874479,141.589039,unknown,91.648,15.84833,15時間50分54秒
舎熊,43.869113,141.580068,unknown,90.915,15.84452,15時間50分40秒
朱文別,43.860678,141.564328,unknown,89.744,15.83844,15時間50分18秒
箸別,43.859125,141.55164,unknown,89.383,15.83657,15時間50分12秒
増毛,43.856522,141.527559,unknown,88.766,15.83337,15時間50分0秒
神楽岡,43.745033,142.358257,heat,110.819,15.94791,15時間56分52秒
緑が丘(北海道),43.731074,142.365701,heat,110.225,15.94482,15時間56分41秒
西御料,43.720834,142.371507,heat,109.824,15.94274,15時間56分34秒
西瑞穂,43.70242,142.381982,heat,109.137,15.93917,15時間56分21秒
西神楽,43.682181,142.393677,heat,108.442,15.93556,15時間56分8秒
西聖和,43.669047,142.415209,heat,108.906,15.93797,15時間56分17秒
千代ヶ岡,43.643737,142.451024,heat,109.556,15.94135,15時間56分29秒
北美瑛,43.617884,142.479594,heat,109.831,15.94278,15時間56分34秒
美瑛,43.591186,142.461639,heat,107.003,15.92808,15時間55分41秒
美馬牛,43.537408,142.447192,eco,102.902,15.90678,15時間54分24秒
上富良野,43.464046,142.468761,eco,100.636,15.89500,15時間53分42秒
西中,43.429569,142.441876,eco,97.058,15.87642,15時間52分35秒
ラベンダー畑,43.416919,142.430681,eco,95.663,15.86918,15時間52分9秒
中富良野,43.405704,142.420812,cool,94.438,15.86282,15時間51分46秒
鹿討,43.387499,142.404812,cool,92.467,15.85258,15時間51分9秒
学田,43.366234,142.386118,cool,90.189,15.84076,15時間50分27秒
旭川四条,43.764056,142.375815,heat,113.288,15.96074,15時間57分39秒
新旭川,43.780174,142.384789,heat,115.036,15.96983,15時間58分11秒
永山,43.814158,142.434382,heat,120.524,15.99835,15時間59分54秒
北永山,43.826736,142.454493,heat,122.658,16.00944,16時間0分34秒
南比布,43.853342,142.467271,unknown,125.434,16.02388,16時間1分26秒
比布,43.874478,142.471294,heat,127.299,16.03357,16時間2分1秒
北比布,43.901728,142.476545,unknown,129.732,16.04622,16時間2分46秒
蘭留,43.925072,142.473699,heat,131.428,16.05503,16時間3分18秒
塩狩,43.96794,142.4552,heat,133.903,16.06790,16時間4分4秒
和寒,44.026932,142.415309,heat,136.804,16.08298,16時間4分59秒
東六線,44.068723,142.388073,unknown,139.106,16.09495,16時間5分42秒
剣淵,44.09643,142.364754,heat,140.470,16.10203,16時間6分7秒
北剣淵,44.139423,142.377955,unknown,144.973,16.12544,16時間7分32秒
士別,44.172536,142.388247,cool,148.463,16.14358,16時間8分37秒
下士別,44.210583,142.396405,unknown,152.327,16.16366,16時間9分49秒
多寄,44.241296,142.396315,cool,155.169,16.17843,16時間10分42秒
瑞穂,44.266349,142.396244,cool,157.505,16.19056,16時間11分26秒
風連,44.292238,142.421624,cool,161.019,16.20882,16時間12分32秒
名寄高校,44.331382,142.465484,cool,166.568,16.23764,16時間14分16秒
名寄,44.349403,142.465207,cool,168.242,16.24633,16時間14分47秒
日進(北海道),44.381713,142.467354,cool,171.371,16.26258,16時間15分45秒
北星,44.441569,142.428116,unknown,175.478,16.28390,16時間17分2秒
智恵文,44.455553,142.414772,cool,176.306,16.28819,16時間17分17秒
智北,44.46103,142.394007,cool,176.038,16.28680,16時間17分12秒
南美深,44.462604,142.367822,unknown,175.201,16.28246,16時間16分57秒
美深,44.482951,142.350597,cool,176.567,16.28954,16時間17分22秒
初野,44.512808,142.336129,unknown,179.005,16.30220,16時間18分8秒
紋穂内,44.538761,142.33357,unknown,181.501,16.31515,16時間18分55秒
恩根内,44.598486,142.309447,unknown,186.683,16.34202,16時間20分31秒
豊清水,44.639503,142.270342,unknown,189.597,16.35713,16時間21分26秒
天塩川温泉,44.665041,142.258682,cool,191.853,16.36883,16時間22分8秒
咲来,44.692702,142.267569,cool,194.963,16.38495,16時間23分6秒
音威子府,44.729448,142.259883,cool,198.519,16.40336,16時間24分12秒
筬島,44.738883,142.197777,cool,197.731,16.39928,16時間23分57秒
佐久,44.743986,142.048562,cool,194.498,16.38253,16時間22分57秒
天塩中川,44.81186,142.075335,cool,202.333,16.42312,16時間25分23秒
歌内,44.880493,142.052162,unknown,209.141,16.45835,16時間27分30秒
問寒別,44.91233,142.025562,cool,211.998,16.47313,16時間28分23秒
糠南,44.920778,142.000931,cool,212.415,16.47528,16時間28分31秒
雄信内,44.911735,141.935888,unknown,210.222,16.46394,16時間27分50秒
安牛,44.949809,141.894187,unknown,213.645,16.48164,16時間28分54秒
南幌延,44.965084,141.884892,unknown,215.158,16.48947,16時間29分22秒
上幌延,44.985787,141.880905,unknown,217.351,16.50080,16時間30分3秒
幌延,45.014503,141.84569,eco,219.959,16.51427,16時間30分51秒
下沼,45.037146,141.758218,eco,221.299,16.52119,16時間31分16秒
豊富,45.104624,141.772088,eco,228.880,16.56033,16時間33分37秒
徳満,45.145838,141.751039,unknown,233.177,16.58249,16時間34分57秒
兜沼,45.220236,141.6972,eco,240.841,16.62198,16時間37分19秒
勇知,45.259339,141.685151,eco,245.053,16.64366,16時間38分37秒
抜海,45.316866,141.644576,unknown,251.089,16.67470,16時間40分29秒
南稚内,45.398166,141.683026,eco,260.383,16.72243,16時間43分21秒
稚内,45.416995,141.676999,eco,262.418,16.73286,16時間43分58秒
南永山,43.78055,142.40853,heat,116.463,15.97724,15時間58分38秒
東旭川,43.776571,142.441544,heat,118.139,15.98596,15時間59分9秒
